2026-04-20T07:37:21.889660Z [info     ] setup plugin alembic.autogenerate.schemas [alembic.runtime.plugins] loc=plugins.py:37
2026-04-20T07:37:21.889891Z [info     ] setup plugin alembic.autogenerate.tables [alembic.runtime.plugins] loc=plugins.py:37
2026-04-20T07:37:21.890008Z [info     ] setup plugin alembic.autogenerate.types [alembic.runtime.plugins] loc=plugins.py:37
2026-04-20T07:37:21.890107Z [info     ] setup plugin alembic.autogenerate.constraints [alembic.runtime.plugins] loc=plugins.py:37
2026-04-20T07:37:21.890215Z [info     ] setup plugin alembic.autogenerate.defaults [alembic.runtime.plugins] loc=plugins.py:37
2026-04-20T07:37:21.890312Z [info     ] setup plugin alembic.autogenerate.comments [alembic.runtime.plugins] loc=plugins.py:37
standalone | Starting Airflow Standalone
api-server | 2026-04-20T07:42:01.693813Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=51358 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query= status_code=200
api-server | 2026-04-20T07:42:01.707890Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=59973 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns query='limit=1&state=running&state=queued' status_code=200
dag-processor | 2026-04-20T07:42:02.146652Z [info     ]
dag-processor | ================================================================================
dag-processor | DAG File Processing Stats
dag-processor | Bundle       File Path               PID    Current Duration      # DAGs    # Errors  Last Duration    Last Run At
dag-processor | -----------  ----------------------  -----  ------------------  --------  ----------  ---------------  -------------------
dag-processor | dags-folder  biomonitor_pipeline.py                                    1           0  0.04s            2026-04-20T07:41:32
dag-processor | ================================================================================ [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:881
dag-processor | 2026-04-20T07:42:02.148644Z [info     ] Not time to refresh bundle dags-folder [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:648
dag-processor | 2026-04-20T07:42:02.239818Z [info     ] Bulk-writing dags to db        [airflow.serialization.definitions.dag] count=1 loc=dag.py:197
dag-processor | 2026-04-20T07:42:02.246363Z [info     ] get next_dagrun_info_v2        [airflow.serialization.definitions.dag] last_automated_run_info=None loc=dag.py:420 next_info=None
dag-processor | 2026-04-20T07:42:02.246533Z [info     ] setting next dagrun info       [airflow.models.dag] loc=dag.py:777 next_dagrun=None next_dagrun_create_after=None next_dagrun_data_interval_end=None next_dagrun_data_interval_start=None next_dagrun_partition_date=None next_dagrun_partition_key=None
api-server | 2026-04-20T07:42:02.818253Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=5833 loc=http_access_log.py:98 method=GET path=/ui/grid/ti_summaries/biomonitor_pipeline query='run_ids=manual__2026-04-20T07%3A38%3A16.986113%2B00%3A00' status_code=200
api-server | 2026-04-20T07:42:03.820608Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=5169 loc=http_access_log.py:98 method=GET path=/ui/dags/biomonitor_pipeline/latest_run query= status_code=200
api-server | 2026-04-20T07:42:03.857838Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=7543 loc=http_access_log.py:98 method=GET path=/ui/grid/structure/biomonitor_pipeline query='include_upstream=false&include_downstream=false&limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:42:03.946016Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=10737 loc=http_access_log.py:98 method=GET path=/ui/grid/runs/biomonitor_pipeline query='limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:42:04.198253Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=6454 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/details query= status_code=200
api-server | 2026-04-20T07:42:04.646464Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=13492 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query='state=deferred&response_received=false' status_code=200
api-server | 2026-04-20T07:42:04.815251Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=64737 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns query='limit=1&state=running&state=queued' status_code=200
api-server | 2026-04-20T07:42:04.819682Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=79052 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query= status_code=200
api-server | 2026-04-20T07:42:05.825652Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=7912 loc=http_access_log.py:98 method=GET path=/ui/grid/ti_summaries/biomonitor_pipeline query='run_ids=manual__2026-04-20T07%3A38%3A16.986113%2B00%3A00' status_code=200
api-server | 2026-04-20T07:42:06.070032Z [info     ] request finished               [http.access] client_addr=127.0.0.1:35310 duration_us=5916 loc=http_access_log.py:98 method=PUT path=/execution/task-instances/019da9d3-6759-7f54-887c-e3b8f5a35dac/heartbeat query= status_code=204
api-server | 2026-04-20T07:42:06.871750Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=4709 loc=http_access_log.py:98 method=GET path=/ui/dags/biomonitor_pipeline/latest_run query= status_code=200
api-server | 2026-04-20T07:42:06.920759Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=14354 loc=http_access_log.py:98 method=GET path=/ui/grid/structure/biomonitor_pipeline query='include_upstream=false&include_downstream=false&limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:42:06.995207Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=10972 loc=http_access_log.py:98 method=GET path=/ui/grid/runs/biomonitor_pipeline query='limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:42:07.256868Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=8360 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/details query= status_code=200
dag-processor | 2026-04-20T07:42:07.262398Z [info     ] Not time to refresh bundle dags-folder [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:648
api-server | 2026-04-20T07:42:07.694521Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=8925 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query='state=deferred&response_received=false' status_code=200
api-server | 2026-04-20T07:42:07.879658Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=18174 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query= status_code=200
api-server | 2026-04-20T07:42:07.881688Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=24333 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns query='limit=1&state=running&state=queued' status_code=200
api-server | 2026-04-20T07:42:08.820848Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=5726 loc=http_access_log.py:98 method=GET path=/ui/grid/ti_summaries/biomonitor_pipeline query='run_ids=manual__2026-04-20T07%3A38%3A16.986113%2B00%3A00' status_code=200
api-server | 2026-04-20T07:42:09.920775Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=3548 loc=http_access_log.py:98 method=GET path=/ui/dags/biomonitor_pipeline/latest_run query= status_code=200
api-server | 2026-04-20T07:42:09.968785Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=7716 loc=http_access_log.py:98 method=GET path=/ui/grid/structure/biomonitor_pipeline query='include_upstream=false&include_downstream=false&limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:42:10.040553Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=9150 loc=http_access_log.py:98 method=GET path=/ui/grid/runs/biomonitor_pipeline query='limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:42:10.301797Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=8216 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/details query= status_code=200
api-server | 2026-04-20T07:42:10.748703Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=14738 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query='state=deferred&response_received=false' status_code=200
api-server | 2026-04-20T07:42:10.936907Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=18675 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query= status_code=200
api-server | 2026-04-20T07:42:10.940495Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=20577 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns query='limit=1&state=running&state=queued' status_code=200
api-server | 2026-04-20T07:42:11.082355Z [info     ] request finished               [http.access] client_addr=127.0.0.1:51918 duration_us=5782 loc=http_access_log.py:98 method=PUT path=/execution/task-instances/019da9d3-6759-7f54-887c-e3b8f5a35dac/heartbeat query= status_code=204
api-server | 2026-04-20T07:42:11.832762Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=11008 loc=http_access_log.py:98 method=GET path=/ui/grid/ti_summaries/biomonitor_pipeline query='run_ids=manual__2026-04-20T07%3A38%3A16.986113%2B00%3A00' status_code=200
dag-processor | 2026-04-20T07:42:12.281959Z [info     ] Not time to refresh bundle dags-folder [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:648
api-server | 2026-04-20T07:42:12.963716Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=3650 loc=http_access_log.py:98 method=GET path=/ui/dags/biomonitor_pipeline/latest_run query= status_code=200
api-server | 2026-04-20T07:42:13.014114Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=7717 loc=http_access_log.py:98 method=GET path=/ui/grid/structure/biomonitor_pipeline query='include_upstream=false&include_downstream=false&limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:42:13.089247Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=9499 loc=http_access_log.py:98 method=GET path=/ui/grid/runs/biomonitor_pipeline query='limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:42:13.347751Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=8693 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/details query= status_code=200
api-server | 2026-04-20T07:42:13.796958Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=9773 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query='state=deferred&response_received=false' status_code=200
api-server | 2026-04-20T07:42:14.000422Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=23854 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query= status_code=200
api-server | 2026-04-20T07:42:14.001952Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=22816 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns query='limit=1&state=running&state=queued' status_code=200
api-server | 2026-04-20T07:42:14.824813Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=6854 loc=http_access_log.py:98 method=GET path=/ui/grid/ti_summaries/biomonitor_pipeline query='run_ids=manual__2026-04-20T07%3A38%3A16.986113%2B00%3A00' status_code=200
api-server | 2026-04-20T07:42:16.005913Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=3483 loc=http_access_log.py:98 method=GET path=/ui/dags/biomonitor_pipeline/latest_run query= status_code=200
api-server | 2026-04-20T07:42:16.064910Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=8440 loc=http_access_log.py:98 method=GET path=/ui/grid/structure/biomonitor_pipeline query='include_upstream=false&include_downstream=false&limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:42:16.094847Z [info     ] request finished               [http.access] client_addr=127.0.0.1:51930 duration_us=5919 loc=http_access_log.py:98 method=PUT path=/execution/task-instances/019da9d3-6759-7f54-887c-e3b8f5a35dac/heartbeat query= status_code=204
api-server | 2026-04-20T07:42:16.145921Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=12356 loc=http_access_log.py:98 method=GET path=/ui/grid/runs/biomonitor_pipeline query='limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:42:16.392997Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=6886 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/details query= status_code=200
api-server | 2026-04-20T07:42:16.876109Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=37374 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query='state=deferred&response_received=false' status_code=200
api-server | 2026-04-20T07:42:17.106403Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=63148 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query= status_code=200
api-server | 2026-04-20T07:42:17.132809Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=85074 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns query='limit=1&state=running&state=queued' status_code=200
dag-processor | 2026-04-20T07:42:17.301041Z [info     ] Not time to refresh bundle dags-folder [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:648
api-server | 2026-04-20T07:42:17.816203Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=6086 loc=http_access_log.py:98 method=GET path=/ui/grid/ti_summaries/biomonitor_pipeline query='run_ids=manual__2026-04-20T07%3A38%3A16.986113%2B00%3A00' status_code=200
api-server | 2026-04-20T07:42:19.050494Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=4042 loc=http_access_log.py:98 method=GET path=/ui/dags/biomonitor_pipeline/latest_run query= status_code=200
api-server | 2026-04-20T07:42:19.109179Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=7867 loc=http_access_log.py:98 method=GET path=/ui/grid/structure/biomonitor_pipeline query='include_upstream=false&include_downstream=false&limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:42:19.196702Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=10939 loc=http_access_log.py:98 method=GET path=/ui/grid/runs/biomonitor_pipeline query='limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:42:19.436302Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=6681 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/details query= status_code=200
api-server | 2026-04-20T07:42:19.926267Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=9062 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query='state=deferred&response_received=false' status_code=200
api-server | 2026-04-20T07:42:20.158355Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=12876 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query= status_code=200
api-server | 2026-04-20T07:42:20.183267Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=11749 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns query='limit=1&state=running&state=queued' status_code=200
api-server | 2026-04-20T07:42:20.818190Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=5602 loc=http_access_log.py:98 method=GET path=/ui/grid/ti_summaries/biomonitor_pipeline query='run_ids=manual__2026-04-20T07%3A38%3A16.986113%2B00%3A00' status_code=200
api-server | 2026-04-20T07:42:21.107479Z [info     ] request finished               [http.access] client_addr=127.0.0.1:48438 duration_us=6214 loc=http_access_log.py:98 method=PUT path=/execution/task-instances/019da9d3-6759-7f54-887c-e3b8f5a35dac/heartbeat query= status_code=204
api-server | 2026-04-20T07:42:22.202291Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49734 duration_us=99143 loc=http_access_log.py:98 method=GET path=/ui/dags/biomonitor_pipeline/latest_run query= status_code=200
api-server | 2026-04-20T07:42:22.297018Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=140110 loc=http_access_log.py:98 method=GET path=/ui/grid/structure/biomonitor_pipeline query='include_upstream=false&include_downstream=false&limit=10&order_by=-run_after' status_code=200
dag-processor | 2026-04-20T07:42:22.338447Z [info     ] Not time to refresh bundle dags-folder [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:648
api-server | 2026-04-20T07:42:22.347685Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=98703 loc=http_access_log.py:98 method=GET path=/ui/grid/runs/biomonitor_pipeline query='limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:42:22.479266Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=6528 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/details query= status_code=200
api-server | 2026-04-20T07:42:22.973881Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=10518 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query='state=deferred&response_received=false' status_code=200
api-server | 2026-04-20T07:42:23.207978Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=13422 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query= status_code=200
api-server | 2026-04-20T07:42:23.240639Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=19755 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns query='limit=1&state=running&state=queued' status_code=200
api-server | 2026-04-20T07:42:23.812846Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=5963 loc=http_access_log.py:98 method=GET path=/ui/grid/ti_summaries/biomonitor_pipeline query='run_ids=manual__2026-04-20T07%3A38%3A16.986113%2B00%3A00' status_code=200
api-server | 2026-04-20T07:42:25.253004Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=4610 loc=http_access_log.py:98 method=GET path=/ui/dags/biomonitor_pipeline/latest_run query= status_code=200
api-server | 2026-04-20T07:42:25.344304Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=8777 loc=http_access_log.py:98 method=GET path=/ui/grid/structure/biomonitor_pipeline query='include_upstream=false&include_downstream=false&limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:42:25.400726Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=12378 loc=http_access_log.py:98 method=GET path=/ui/grid/runs/biomonitor_pipeline query='limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:42:25.523558Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=6855 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/details query= status_code=200
api-server | 2026-04-20T07:42:26.030833Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=9348 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query='state=deferred&response_received=false' status_code=200
api-server | 2026-04-20T07:42:26.119783Z [info     ] request finished               [http.access] client_addr=127.0.0.1:48440 duration_us=6108 loc=http_access_log.py:98 method=PUT path=/execution/task-instances/019da9d3-6759-7f54-887c-e3b8f5a35dac/heartbeat query= status_code=204
api-server | 2026-04-20T07:42:26.259609Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=11502 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query= status_code=200
api-server | 2026-04-20T07:42:26.292827Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=14408 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns query='limit=1&state=running&state=queued' status_code=200
api-server | 2026-04-20T07:42:26.821086Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=6998 loc=http_access_log.py:98 method=GET path=/ui/grid/ti_summaries/biomonitor_pipeline query='run_ids=manual__2026-04-20T07%3A38%3A16.986113%2B00%3A00' status_code=200
dag-processor | 2026-04-20T07:42:27.357016Z [info     ] Not time to refresh bundle dags-folder [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:648
api-server | 2026-04-20T07:42:28.296273Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=3474 loc=http_access_log.py:98 method=GET path=/ui/dags/biomonitor_pipeline/latest_run query= status_code=200
api-server | 2026-04-20T07:42:28.388000Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=8039 loc=http_access_log.py:98 method=GET path=/ui/grid/structure/biomonitor_pipeline query='include_upstream=false&include_downstream=false&limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:42:28.448635Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=11014 loc=http_access_log.py:98 method=GET path=/ui/grid/runs/biomonitor_pipeline query='limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:42:28.566426Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=7032 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/details query= status_code=200
api-server | 2026-04-20T07:42:29.078116Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=8870 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query='state=deferred&response_received=false' status_code=200
api-server | 2026-04-20T07:42:29.309290Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=10919 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query= status_code=200
api-server | 2026-04-20T07:42:29.342376Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=12272 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns query='limit=1&state=running&state=queued' status_code=200
api-server | 2026-04-20T07:42:29.847089Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=21717 loc=http_access_log.py:98 method=GET path=/ui/grid/ti_summaries/biomonitor_pipeline query='run_ids=manual__2026-04-20T07%3A38%3A16.986113%2B00%3A00' status_code=200
scheduler  | 2026-04-20T07:42:30.026149Z [info     ] Adopting or resetting orphaned tasks for active dag runs [airflow.jobs.scheduler_job_runner.SchedulerJobRunner] loc=scheduler_job_runner.py:2715
triggerer  | 2026-04-20T07:42:30.214294Z [info     ] 0 triggers currently running   [airflow.jobs.triggerer_job_runner] loc=triggerer_job_runner.py:796
triggerer  | 2026-04-20T07:42:30.214437Z [info     ] 0 watchers currently running   [airflow.jobs.triggerer_job_runner] loc=triggerer_job_runner.py:796
api-server | 2026-04-20T07:42:31.126104Z [info     ] request finished               [http.access] client_addr=127.0.0.1:37086 duration_us=5228 loc=http_access_log.py:98 method=PUT path=/execution/task-instances/019da9d3-6759-7f54-887c-e3b8f5a35dac/heartbeat query= status_code=204
api-server | 2026-04-20T07:42:31.336949Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=3640 loc=http_access_log.py:98 method=GET path=/ui/dags/biomonitor_pipeline/latest_run query= status_code=200
api-server | 2026-04-20T07:42:31.436209Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=7799 loc=http_access_log.py:98 method=GET path=/ui/grid/structure/biomonitor_pipeline query='include_upstream=false&include_downstream=false&limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:42:31.495339Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=10890 loc=http_access_log.py:98 method=GET path=/ui/grid/runs/biomonitor_pipeline query='limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:42:31.607940Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=6605 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/details query= status_code=200
api-server | 2026-04-20T07:42:32.152522Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=33873 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query='state=deferred&response_received=false' status_code=200
api-server | 2026-04-20T07:42:32.359750Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49708 duration_us=11463 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns/~/hitlDetails query= status_code=200
dag-processor | 2026-04-20T07:42:32.376795Z [info     ]
dag-processor | ================================================================================
dag-processor | DAG File Processing Stats
dag-processor | Bundle       File Path               PID    Current Duration      # DAGs    # Errors  Last Duration    Last Run At
dag-processor | -----------  ----------------------  -----  ------------------  --------  ----------  ---------------  -------------------
dag-processor | dags-folder  biomonitor_pipeline.py                                    1           0  0.08s            2026-04-20T07:42:02
dag-processor | ================================================================================ [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:881
dag-processor | 2026-04-20T07:42:32.377821Z [info     ] Refreshing bundle dags-folder  [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:651
dag-processor | 2026-04-20T07:42:32.379672Z [info     ] Searching for files in dags-folder at /workspaces/biomonitor-capstone/airflow_home/dags [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:707
dag-processor | 2026-04-20T07:42:32.380664Z [info     ] Found 1 files for bundle dags-folder [airflow.dag_processing.manager.DagFileProcessorManager] loc=manager.py:709
api-server | 2026-04-20T07:42:32.400924Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=19606 loc=http_access_log.py:98 method=GET path=/api/v2/dags/biomonitor_pipeline/dagRuns query='limit=1&state=running&state=queued' status_code=200
dag-processor | 2026-04-20T07:42:32.427828Z [info     ] Bulk-writing dags to db        [airflow.serialization.definitions.dag] count=1 loc=dag.py:197
dag-processor | 2026-04-20T07:42:32.430455Z [info     ] get next_dagrun_info_v2        [airflow.serialization.definitions.dag] last_automated_run_info=None loc=dag.py:420 next_info=None
dag-processor | 2026-04-20T07:42:32.430581Z [info     ] setting next dagrun info       [airflow.models.dag] loc=dag.py:777 next_dagrun=None next_dagrun_create_after=None next_dagrun_data_interval_end=None next_dagrun_data_interval_start=None next_dagrun_partition_date=None next_dagrun_partition_key=None
api-server | 2026-04-20T07:42:32.820977Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=10423 loc=http_access_log.py:98 method=GET path=/ui/grid/ti_summaries/biomonitor_pipeline query='run_ids=manual__2026-04-20T07%3A38%3A16.986113%2B00%3A00' status_code=200
api-server | 2026-04-20T07:42:34.380195Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=3570 loc=http_access_log.py:98 method=GET path=/ui/dags/biomonitor_pipeline/latest_run query= status_code=200
api-server | 2026-04-20T07:42:34.480543Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=7515 loc=http_access_log.py:98 method=GET path=/ui/grid/structure/biomonitor_pipeline query='include_upstream=false&include_downstream=false&limit=10&order_by=-run_after' status_code=200
api-server | 2026-04-20T07:42:34.556418Z [info     ] request finished               [http.access] client_addr=127.0.0.1:49718 duration_us=21015 loc=http_access_log.py:98 method=GET path=/ui/grid/runs/biomonitor_pipeline query='limit=10&order_by=-run_after' status_code=200
